Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
Tú Harás,Marcos Witt,"Declaración Doctrinal, Exaltación / Gloria","Celebración Rítmica, Especial",Conocida,Por practicar,Avanzada,https://music.youtube.com/watch?v=nWCLenPD3ZQ&si=LHuCYe-cdHzti-bl,No
¿A Quién Tengo Yo?,Jesus Legacy,Consagración / Entrega,Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=rs7T8Dy5meE&si=lciwXqp0tyB96a3r,Yes
¿Quién como el Señor?,René González,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Dominada,Ensamblada,Intermedia,https://music.youtube.com/watch?v=qfvxtY7h8Bw&si=tkI7KS9EG6CJvzhf,Yes
Siervo Para Tu Gloria,IBI,"Consagración / Entrega, Declaración Doctrinal",Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=DIe0Fi9ysgA&si=gfKKCaUmuRnImimZ,Yes
"Yo Sé ",Marco Barrientos,"Declaración Doctrinal, Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Conocida,Por practicar,Intermedia,https://music.youtube.com/watch?v=ZbMahKoBt8o&si=ZNG1MP8I2by_2GQ0,Yes
Jesucristo Basta,Un Corazón,"Acción de Gracias, Declaración Doctrinal",Worship contemporáneo,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=k_TwdkVxYE0&si=u63aiRE2i6ugRJyw,Yes
Música del Cielo,Miel San Marcos,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=BV6490Ts3EQ&si=ePoyHiulTr3duHf2,Yes
Nueva Criatura,Jesús A. Romero,"Declaración Doctrinal, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Intermedia,https://music.youtube.com/watch?v=fvXHMoR1O9Y&si=O7LKPvoInmaPE14Y,Yes
"Con Manos Vacías ",Jesús A. Romero,"Confesión / Arrepentimiento, Consagración / Entrega",Balada congregacional,Dominada,Montada,Intermedia,https://music.youtube.com/watch?v=2LwBFKH2cUI&si=FeLl5405N2K3A9cT,Yes
Mas Que Nunca,Un Corazón,Consagración / Entrega,Balada congregacional,Nueva,Por entrar,Intermedia,,No
"Vamos a Cantar ",Luis Enrique Espinosa,"Acción de Gracias, Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Nueva,Por entrar,Avanzada,https://youtu.be/4fFDEQCPi88?si=mfcyYsKuKZA4Upbq,No
